step,wins,draws,losses,avg_moves,epsilon
10000,0,10000,0,0.0,0.99
20000,0,10000,0,0.0,0.99
30000,0,10000,0,0.0,0.99
40000,0,10000,0,0.0,0.99
50000,0,10000,0,0.0,0.99
60000,0,10000,0,0.0,0.99
70000,0,10000,0,0.0,0.99
80000,0,10000,0,0.0,0.99
90000,0,10000,0,0.0,0.99
100000,0,10000,0,0.0,0.99
110000,0,10000,0,0.0,0.99
120000,0,10000,0,0.0,0.99
130000,0,10000,0,0.0,0.99
140000,0,10000,0,0.0,0.99
150000,0,10000,0,0.0,0.99
160000,0,10000,0,0.0,0.99
170000,0,10000,0,0.0,0.99
180000,0,10000,0,0.0,0.99
190000,0,10000,0,0.0,0.99
200000,0,10000,0,0.0,0.99
210000,0,10000,0,0.0,0.99
220000,0,10000,0,0.0,0.99
230000,0,10000,0,0.0,0.99
240000,0,10000,0,0.0,0.99
250000,0,10000,0,0.0,0.99
260000,0,10000,0,0.0,0.99
270000,0,10000,0,0.0,0.99
280000,0,10000,0,0.0,0.99
290000,0,10000,0,0.0,0.99
300000,0,10000,0,0.0,0.99
